id,matricula_discente,nombre_discente,apellido_paterno_discente,apellido_materno_discente,grado_escolar,plantel,CURP,RFC,cartilla_militar,generacion,sexo,fecha_nacimiento,nacionalidad,entidad_nacimiento,nombre_tutor,nombre_padre,nombre_madre,escuela_procedencia,tipo_escuela_procedencia,entidad_federativa_escuela,promedio_secundaria,promedio_bachillerato,foto,practica_deporte,nombre_deporte,nombre_entrenador,categoria,fecha_inicio,lugar,horario_deporte,asociacion,peso,estatura,tipo_sangre,padece_enfermedad,descripcion_enfermedad,problema_fisico,descripcion_problema,operacion_fisica,descripcion_operacion,tatuajes,pie_plano,lentes,carrera,promedio,foto_horario,fk_id_domicilio
84,84,nombre84,apellidoPaterno84,apellidoMaterno84,BACHILLERATO,CECYT,AAST770826MCHLNR151,AAST770908,SAML770826MCSNRT164,156 (2016 - 2022),Femenino,1999-03-08,Mexicano,GUANAJUATO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,GUANAJUATO,8.404774278,8.02421317,,NO,Alterofilia,Demetrio Sanchis,Juvenil,2022-08-22,Ciudad de Mexico,Vespertino,,82.40445107,1.898659108,AB+,NO,,NO,,NO,,NO,NO,NO,Ingenieria en sistemas computacionales,6.099429607,,0
85,85,nombre85,apellidoPaterno85,apellidoMaterno85,BACHILLERATO,CECYT,AAST770826MCHLNR152,AAST770909,SAML770826MCSNRT165,157 (2016 - 2022),Femenino,1999-03-09,Mexicano,SAN LUIS POTOSI,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,SAN LUIS POTOSI,5.845813909,2.050776987,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-08-23,Ciudad de Mexico,Matutino,,80.63515541,1.781158676,AB+,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,7.859671138,,0
86,86,nombre86,apellidoPaterno86,apellidoMaterno86,BACHILLERATO,CECYT,AAST770826MCHLNR153,AAST770910,SAML770826MCSNRT166,158 (2016 - 2022),Femenino,1999-03-10,Mexicano,VERACRUZ,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,VERACRUZ,7.979978041,9.194380814,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-08-24,Ciudad de Mexico,Matutino,,83.35318599,1.606251791,A-,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,3.101894407,,0
87,87,nombre87,apellidoPaterno87,apellidoMaterno87,BACHILLERATO,CECYT,AAST770826MCHLNR154,AAST770911,SAML770826MCSNRT167,159 (2016 - 2022),Masculino,1999-03-11,Mexicano,MORELOS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,MORELOS,2.439928391,4.703803114,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-08-25,Ciudad de Mexico,Matutino,,88.42860114,1.871049329,A-,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,6.549337951,,0
88,88,nombre88,apellidoPaterno88,apellidoMaterno88,BACHILLERATO,CECYT,AAST770826MCHLNR155,AAST770912,SAML770826MCSNRT168,160 (2016 - 2022),Masculino,1999-03-12,Mexicano,HIDALGO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,HIDALGO,0.27122458,0.328412712,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-08-26,Ciudad de Mexico,Matutino,,88.2278305,1.706656027,A-,NO,,NO,,NO,,SI,SI,NO,Ingenieria en sistemas computacionales,6.770838977,,0
89,89,nombre89,apellidoPaterno89,apellidoMaterno89,BACHILLERATO,CECYT,AAST770826MCHLNR156,AAST770913,SAML770826MCSNRT169,161 (2016 - 2022),Femenino,1999-03-13,Mexicano,ESTADO DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,ESTADO DE MEXICO,0.890873454,7.380693998,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-08-27,Ciudad de Mexico,Matutino,,91.70482953,1.686872971,A-,NO,,NO,,NO,,SI,SI,NO,Ingenieria en sistemas computacionales,7.758397904,,0
90,90,nombre90,apellidoPaterno90,apellidoMaterno90,BACHILLERATO,CECYT,AAST770826MCHLNR157,AAST770914,SAML770826MCSNRT170,162 (2016 - 2022),Femenino,1999-03-14,Mexicano,GUANAJUATO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,GUANAJUATO,4.02310981,3.27900888,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-08-28,Ciudad de Mexico,Matutino,,92.29239616,1.777140933,A-,NO,,NO,,NO,,SI,SI,NO,Ingenieria en sistemas computacionales,5.898311805,,0
91,91,nombre91,apellidoPaterno91,apellidoMaterno91,BACHILLERATO,CECYT,AAST770826MCHLNR158,AAST770915,SAML770826MCSNRT171,163 (2016 - 2022),Femenino,1999-03-15,Mexicano,SAN LUIS POTOSI,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,SAN LUIS POTOSI,1.170993635,3.122107176,,SI,Basquetball,Demetrio Sanchis,Juvenil,2022-08-29,Ciudad de Mexico,Matutino,,77.71583241,1.657024576,A-,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,2.853894418,,0
92,92,nombre92,apellidoPaterno92,apellidoMaterno92,BACHILLERATO,CECYT,AAST770826MCHLNR159,AAST770916,SAML770826MCSNRT172,164 (2016 - 2022),Masculino,1999-03-16,Mexicano,VERACRUZ,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,VERACRUZ,5.844770222,2.71984151,,SI,Basquetball,Demetrio Sanchis,Juvenil,2022-08-30,Ciudad de Mexico,Matutino,,86.60407684,1.971268721,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,2.120261586,,0
93,93,nombre93,apellidoPaterno93,apellidoMaterno93,BACHILLERATO,CECYT,AAST770826MCHLNR160,AAST770917,SAML770826MCSNRT173,165 (2016 - 2022),Masculino,1999-03-17,Mexicano,MORELOS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,MORELOS,1.845964486,6.907427546,,SI,Basquetball,Demetrio Sanchis,Juvenil,2022-08-31,Ciudad de Mexico,Matutino,,77.98610529,1.715702936,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,2.022246954,,0
94,94,nombre94,apellidoPaterno94,apellidoMaterno94,BACHILLERATO,CECYT,AAST770826MCHLNR161,AAST770918,SAML770826MCSNRT174,166 (2016 - 2022),Femenino,1999-03-18,Mexicano,HIDALGO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,HIDALGO,7.118478707,8.54304376,,SI,Basquetball,Demetrio Sanchis,Juvenil,2022-09-01,Ciudad de Mexico,Matutino,,75.16424871,1.885843143,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,5.874696031,,0
95,95,nombre95,apellidoPaterno95,apellidoMaterno95,BACHILLERATO,CECYT,AAST770826MCHLNR162,AAST770919,SAML770826MCSNRT175,167 (2016 - 2022),Femenino,1999-03-19,Mexicano,ESTADO DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,ESTADO DE MEXICO,2.613440567,7.132550495,,SI,Alterofilia,Demetrio Sanchis,Juvenil,2022-09-02,Ciudad de Mexico,Matutino,,89.66654629,1.79741142,O+,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,9.325839113,,0
96,96,nombre96,apellidoPaterno96,apellidoMaterno96,BACHILLERATO,CECYT,AAST770826MCHLNR163,AAST770920,SAML770826MCSNRT176,168 (2016 - 2022),Femenino,1999-03-20,Mexicano,TLAXCALA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,TLAXCALA,5.281339626,6.187127023,,SI,Basquetball,Demetrio Sanchis,Juvenil,2022-09-03,Ciudad de Mexico,Matutino,,92.91592091,1.767162353,AB+,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,5.820270896,,0
97,97,nombre97,apellidoPaterno97,apellidoMaterno97,BACHILLERATO,CECYT,AAST770826MCHLNR164,AAST770921,SAML770826MCSNRT177,169 (2016 - 2022),Femenino,1999-03-21,Mexicano,SINALOA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,SINALOA,5.285354719,1.127977007,,SI,Natacion,Demetrio Sanchis,Juvenil,2022-09-04,Ciudad de Mexico,Matutino,,81.90557023,1.914920878,AB+,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,4.683893064,,0
98,98,nombre98,apellidoPaterno98,apellidoMaterno98,BACHILLERATO,CECYT,AAST770826MCHLNR165,AAST770922,SAML770826MCSNRT178,170 (2016 - 2022),Femenino,1999-03-22,Mexicano,MICHOACAN,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,MICHOACAN,8.415824246,8.856692327,,SI,Natacion,Demetrio Sanchis,Juvenil,2022-09-05,Ciudad de Mexico,Matutino,,92.84339829,1.905423124,A-,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,0.190181578,,0
99,99,nombre99,apellidoPaterno99,apellidoMaterno99,BACHILLERATO,CECYT,AAST770826MCHLNR166,AAST770923,SAML770826MCSNRT179,171 (2016 - 2022),Masculino,1999-03-23,Mexicano,ESTADO DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,ESTADO DE MEXICO,0.334704582,3.567143715,,NO,Basquetball,Demetrio Sanchis,Juvenil,2022-09-06,Ciudad de Mexico,Matutino,,78.36886048,1.867912293,A-,NO,,NO,,NO,,NO,SI,SI,Ingenieria en sistemas computacionales,0.638368219,,0
100,100,nombre100,apellidoPaterno100,apellidoMaterno100,BACHILLERATO,CECYT,AAST770826MCHLNR167,AAST770924,SAML770826MCSNRT180,172 (2016 - 2022),Masculino,1999-03-24,Mexicano,CIUDAD DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,CIUDAD DE MEXICO,9.150098776,2.77406396,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-09-07,Ciudad de Mexico,Vespertino,,93.31136275,1.95599783,O+,NO,,NO,,NO,,NO,NO,NO,Ingenieria en sistemas computacionales,5.924606759,,0
